1|4.095
2|3.725
3|3.775
4|4.312
5|3.082
6|3.786
7|4.375
8|3.855
9|3.655
10|4.106
11|3.248
12|3.833
13|3.430
14|3.263
15|3.325
16|3.074
17|4.083
18|3.683
19|3.547
20|4.000
21|2.765
22|3.051
23|3.273
24|3.972
25|3.701
26|2.978
27|4.364
28|3.812
29|3.663
30|3.471
31|3.638
32|3.737
33|3.481
34|3.877
35|3.475
36|4.221
37|3.714
38|3.633
39|3.633
40|3.408
41|3.526
42|3.755
43|4.111
44|3.636
45|2.932
46|4.000
47|3.941
48|3.073
49|3.605
50|3.000
51|3.806
52|3.597
53|4.222
54|4.065
55|4.000
56|3.981
57|2.940
58|3.989
59|3.447
60|3.618
61|2.786
62|3.550
63|3.487
64|4.143
65|4.344
66|3.800
67|4.260
68|3.702
69|4.020
70|3.762
71|3.682
72|3.765
73|3.379
74|4.147
75|4.000
76|4.145
77|2.867
78|3.694
79|3.667
80|3.895
81|4.412
82|4.053
83|3.603
84|3.625
85|3.100
86|4.368
87|2.804
88|4.130
89|3.312
90|3.486
91|4.794
92|2.752
93|2.977
94|3.938
95|3.577
96|3.625
97|4.467
98|3.800
99|3.176
100|3.017
101|4.655
102|3.114
103|4.000
104|3.389
105|4.312
106|4.135
107|3.781
108|3.034
109|4.016
110|3.127
111|3.712
112|4.170
113|3.556
114|3.590
115|3.600
116|3.809
117|3.330
118|3.758
119|3.590
120|3.660
121|4.509
122|2.933
123|3.397
124|4.167
125|4.089
126|3.925
127|3.797
128|4.471
129|4.048
130|4.280
131|3.421
132|4.014
133|3.756
134|2.781
135|3.673
136|3.136
137|3.600
138|4.451
139|3.933
140|3.930
141|3.722
142|3.216
143|3.537
144|3.400
145|2.933
146|3.747
147|3.477
148|3.743
149|3.932
150|3.973
151|3.638
152|4.111
153|3.950
154|3.088
155|2.961
156|4.229
157|3.748
158|3.941
159|3.714
160|3.533
161|4.460
162|4.082
163|2.193
164|4.350
165|3.931
166|3.679
167|2.891
168|3.800
169|3.601
170|3.942
171|3.944
172|3.778
173|3.978
174|3.571
175|3.976
176|3.710
177|4.029
178|3.791
179|2.724
180|3.696
181|3.587
182|3.894
183|4.250
184|4.045
185|3.600
186|4.278
187|4.078
188|3.054
189|4.042
190|3.721
191|3.435
192|3.093
193|3.642
194|3.957
195|3.893
196|4.000
197|3.882
198|3.755
199|3.265
